"Enable Block","Enable Block"
"Number of Brands Shown","Number of Brands Shown"
"Display Option","Display Option"
"Featured Brands Advanced Configuration","Featured Brands Advanced Configuration"
"Display On Other Places","Display On Other Places"
"Embedded Code","Embedded Code"
" Set URL path for the Brand Listing page. For example: http://www.yourstore.com/brand. "," Set URL path for the Brand Listing page. For example: http://www.yourstore.com/brand. "
"Name of  the Manufacturer attribute will be imported to brands. "manufacturer" is default .","Name of  the Manufacturer attribute will be imported to brands. "manufacturer" is default ."
"Support Magento Community Edition 1.7.x and later.","Support Magento Community Edition 1.7.x and later."
"If empty or zero, there is no limitation.","If empty or zero, there is no limitation."
"Show each brand’s product number next to its name.","Show each brand’s product number next to its name."
"In pixel. Recommended size: smaller than 200px.","In pixel. Recommended size: smaller than 200px."
"Select block will show in left column","Select block will show in left column"
"Select block will show in right column","Select block will show in right column"
"Display the block on pages having sidebar.","Display the block on pages having sidebar."
"If empty or zero, there’s no limitation.","If empty or zero, there’s no limitation."
"Show logo and name by default.","Show logo and name by default."
"BestSeller Products","BestSeller Products"
"Brand by Category","Brand by Category"
"All Categories","All Categories"
"Featured Brands","Featured Brands"
"Featured Products","Featured Products"
"Search by name","Search by name"
"Brand Search","Brand Search"
"Brand Not Found!","Brand Not Found!"
"Brands","Brands"
"View all","View all"
"Sign up for new products","Sign up for new products"
"Be ","Be "
"Type your email address","Type your email address"
"Submit","Submit"
"Please type your keyword","Please type your keyword"
"Enter Keyword","Enter Keyword"
"Search","Search"
"Brand categories","Brand categories"
"Number of items sold","Number of items sold"
"Lifetime Sales","Lifetime Sales"
"Show sales chart","Show sales chart"
"from","from"
"Select Date","Select Date"
"to","to"
"View Chart","View Chart"
"Select Range","Select Range"
"No Data Found","No Data Found"
"Select Time Range","Select Time Range"
"Show Sales Report","Show Sales Report"
"From","From"
"To","To"
"You\'ve successfully imported ","You\'ve successfully imported "
" new item(s) and updated "," new item(s) and updated "
"item(s). Please reindex brand URL key.","item(s). Please reindex brand URL key."
