"All Categories","All Categories"
"Catalog Category Search","Catalog Category Search"
"Search","Search"
"Search entire store here...","Search here..."
"Select Category On Category Pages","Select Category On Category Pages"
"Show Subcategories","Show Subcategories"
"Subcategory Indentation","Subcategory Indentation"
